dataset,script_id,model,prompt_type,language,category,snippet,metric,n,mean,median,std,min,max,skewness,kurtosis_excess,shapiro_w,shapiro_p_value,normality_rejected_0_05,note
translation,script_17,gemini,optimized,python,data_manipulation_preprocessing,01_impute_encode_scale,elapsed_seconds,30,0.1722963398,0.172217438,0.0004642745898473867,0.171585357,0.17349049,0.6953362930902828,0.11662275915085285,0.956423014352618,0.2502867234231249,False,
translation,script_17,gemini,optimized,python,data_manipulation_preprocessing,01_impute_encode_scale,energy_joules,30,2.8380000000000005,2.84,0.040547970738798844,2.78,2.95,0.6142186830830848,0.7982752993394007,0.9306110814710595,0.050973796003646495,False,
translation,script_18,gemini,optimized,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,avg_power_watts,30,16.17104459946667,16.153903053500002,0.1947553714309414,15.759371805,16.530654973,0.08784641629496427,-0.7543669766150813,0.9726262570376736,0.6132444448429407,False,
translation,script_18,gemini,optimized,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,elapsed_seconds,30,0.6175269676666666,0.6178875575,0.0022517140372254768,0.613541163,0.622054003,-0.1756387247485623,-0.9766437731520163,0.9465735836415692,0.13677178352235966,False,
translation,script_18,gemini,optimized,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,energy_joules,30,9.986,9.975000000000001,0.12093315337907513,9.76,10.17,0.03290856214411066,-1.0386168284476782,0.9474827701932448,0.14469783819569715,False,
translation,script_19,gemini,optimized,python,data_visualization,01_scatter_trend_grouped,avg_power_watts,30,16.688575371900004,16.692711376,0.20402257755814995,16.309027998,17.096609932,-0.12160421390024778,-0.6815487792238057,0.9765622465133648,0.7286612903039694,False,
translation,script_19,gemini,optimized,python,data_visualization,01_scatter_trend_grouped,elapsed_seconds,30,0.3717537531333333,0.3717688405,0.0011415750285062695,0.369528721,0.374417683,0.13372000228907047,0.02008908797022091,0.9870136627592522,0.9663489668540565,False,
translation,script_19,gemini,optimized,python,data_visualization,01_scatter_trend_grouped,energy_joules,30,6.203999999999999,6.205,0.07481471365520519,6.07,6.32,-0.08308916827845501,-1.1679978696911493,0.9413813894345926,0.09909723481226276,False,
translation,script_2,gemini,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,avg_power_watts,30,16.330287971066667,16.272196428999997,0.2999213778957396,15.857133935,17.195126271,1.0342373088335626,1.2328666397621237,0.934829450750564,0.0660594982861067,False,
translation,script_2,gemini,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,elapsed_seconds,30,0.1736458229333334,0.1734220725,0.000803647989392334,0.172258551,0.176194861,1.3691207426575722,2.7120660038623434,0.8880605090877132,0.004340985582310169,True,
translation,script_2,gemini,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,energy_joules,30,2.8356666666666666,2.825,0.052567417031211795,2.75,2.98,0.8330201263527802,0.7150831127618087,0.9485418378717099,0.15449957449059976,False,
translation,script_20,gemini,optimized,python,data_visualization,02_distribution_boxplot,avg_power_watts,30,16.82635426013333,16.8752737905,0.20413699423933918,16.356984444,17.198144765,-0.6214266636273146,-0.2551048640441662,0.9438911887533654,0.11580325768164111,False,
translation,script_20,gemini,optimized,python,data_visualization,02_distribution_boxplot,elapsed_seconds,30,0.48294103043333336,0.4833515265,0.0015818289290443614,0.478618469,0.485372988,-0.9705825831647971,0.641135468293216,0.9304642583837779,0.05051768999633072,False,
translation,script_20,gemini,optimized,python,data_visualization,02_distribution_boxplot,energy_joules,30,8.125999999999998,8.14,0.0902334137973136,7.92,8.29,-0.5652676081411647,-0.3140215961414978,0.9506248348669716,0.17569842567545546,False,
