model,prompt_type,language,category,snippet,matched_original_model,candidate_runs,original_runs,elapsed_seconds_u_stat,elapsed_seconds_p_value,elapsed_seconds_candidate_mean,elapsed_seconds_original_mean,elapsed_seconds_candidate_median,elapsed_seconds_original_median,elapsed_seconds_mean_pct_diff_vs_original,elapsed_seconds_median_pct_diff_vs_original,elapsed_seconds_rank_biserial,elapsed_seconds_cliffs_delta,energy_joules_u_stat,energy_joules_p_value,energy_joules_candidate_mean,energy_joules_original_mean,energy_joules_candidate_median,energy_joules_original_median,energy_joules_mean_pct_diff_vs_original,energy_joules_median_pct_diff_vs_original,energy_joules_rank_biserial,energy_joules_cliffs_delta,avg_power_watts_u_stat,avg_power_watts_p_value,avg_power_watts_candidate_mean,avg_power_watts_original_mean,avg_power_watts_candidate_median,avg_power_watts_original_median,avg_power_watts_mean_pct_diff_vs_original,avg_power_watts_median_pct_diff_vs_original,avg_power_watts_rank_biserial,avg_power_watts_cliffs_delta,elapsed_seconds_p_value_fdr_bh,energy_joules_p_value_fdr_bh,avg_power_watts_p_value_fdr_bh
gemini,optimized,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,original,100,100,10000.0,2.562143669163401e-34,2.5878215902300004,2.25614664624,2.5863119865,2.2553947835,14.700947943377532,14.672251856788968,1.0,1.0,10000.0,2.5524915138376253e-34,44.3283,38.710300000000004,44.39,38.61,14.512933250323542,14.970214970214974,1.0,1.0,4618.0,0.35125753310248864,17.129535771749996,17.15758078235,17.174441736,17.102640479,-0.16345550666940814,0.41982556487789374,-0.07640000000000002,-0.0764,3.7106908312021666e-34,4.212401134716591e-34,0.42150903972298637
gemini,optimized,python,machine_learning_workflows,02_regression_workflow_feature_importance,original,100,100,6802.0,1.0737377972372521e-05,12.211049802359998,12.188427361819999,12.205120153500001,12.1851330055,0.18560590196290314,0.1640289686701033,0.36040000000000005,0.3604,4782.5,0.5959581917449694,196.66530000000003,196.8314,196.95,196.93,-0.0843869423272769,0.010155892956878998,-0.04349999999999998,-0.0435,4252.0,0.06778503580149711,16.10565144234,16.14906667013,16.1274813315,16.170231144,-0.2688404765230326,-0.26437353999024904,-0.14959999999999996,-0.1496,1.2025863329057224e-05,0.6257561013322179,0.09650750859874166
gemini,optimized,python,statistical_modelling_analysis,01_linear_regression_inference,original,100,100,0.0,2.562143669163401e-34,0.58261717397,0.7280697941600001,0.5825675345,0.728229206,-19.97784022310854,-20.00217380734933,-1.0,-1.0,0.0,2.538151121325553e-34,10.0184,12.5322,10.03,12.555,-20.058728714830597,-20.111509358821188,-1.0,-1.0,4785.0,0.6002041783277523,17.195304466830002,17.212827800569997,17.198388698000002,17.268128143,-0.10180392172060308,-0.40386221611556977,-0.04300000000000004,-0.043,3.7106908312021666e-34,4.212401134716591e-34,0.6690290661278929
gemini,optimized,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,original,100,100,0.0,2.562143669163401e-34,0.7368879969700001,0.7610161930699999,0.736712211,0.761064186,-3.170523350188485,-3.1997268361804214,-1.0,-1.0,1345.5,4.301753267801236e-19,12.65,13.0754,12.684999999999999,13.085,-3.2534377533383285,-3.056935422239221,-0.7309,-0.7309,4945.0,0.8940631319544825,17.16671452044,17.181455004,17.210775255,17.197560049,-0.08579298759371057,0.07684349385813097,-0.01100000000000001,-0.011,3.7106908312021666e-34,6.230125422332824e-19,0.9017973736659324
gemini,optimized,r,data_manipulation_preprocessing,01_impute_encode_scale,original,100,100,2238.0,1.504988127644481e-11,0.08113657174,0.08138598026999999,0.081092313,0.081335457,-0.3064514664228113,-0.2989397354710882,-0.5524,-0.5524,4795.5,0.6146556105592458,1.3781999999999999,1.3795,1.38,1.38,-0.09423704240667481,0.0,-0.04090000000000005,-0.0409,5372.0,0.36402671795936914,16.9859528348,16.949997811619998,16.966892190499998,16.931894618,0.2121240579473858,0.20669613938413697,0.07440000000000002,0.0744,1.805985753173377e-11,0.6374206331725513,0.43067949730404237
gemini,optimized,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,original,100,100,129.0,1.1760414145658931e-32,0.08105426668,0.08239231195,0.08098744299999999,0.08236083250000001,-1.6239928681841103,-1.667527462158686,-0.9742,-0.9742,2779.5,4.7193986288108206e-08,1.3796000000000002,1.3997999999999997,1.38,1.4,-1.443063294756362,-1.42857142857143,-0.44410000000000005,-0.4441,5245.0,0.5502346247780614,17.02055047216,16.989451495820003,17.011933236,17.0094530135,0.1830487367273087,0.014581435969942196,0.04899999999999993,0.049,1.6464579803922504e-32,6.292531505081095e-08,0.6245906551534751
gemini,optimized,r,data_visualization,01_scatter_trend_grouped,original,100,100,4051.0,0.020473553101713574,0.10238929835000002,0.10269568221999999,0.102435971,0.1025655675,-0.29834153040983447,-0.12635478275883907,-0.18979999999999997,-0.1898,4982.0,0.9656640684829092,1.8163,1.8171000000000004,1.82,1.82,-0.04402619558639347,0.0,-0.0036000000000000476,-0.0036,5441.0,0.2817873838533901,17.739057512539997,17.693996854159998,17.725956884,17.679606974000002,0.25466636369048934,0.26216595237755896,0.08820000000000006,0.0882,0.020972908055413905,0.9656640684829092,0.34809029770124655
gemini,optimized,r,data_visualization,02_distribution_boxplot,original,100,100,253.0,4.240675429529254e-31,0.10395185170000001,0.10622471941,0.103958825,0.10620911050000001,-2.1396787137910005,-2.1187311421838944,-0.9494,-0.9494,1801.5,4.213741535827091e-15,1.8451000000000002,1.8823999999999996,1.85,1.88,-1.9815129621759167,-1.5957446808510536,-0.6396999999999999,-0.6397,5212.0,0.6053120122109508,17.74975062649,17.721476404980002,17.7630258975,17.7602041685,0.1595477761776684,0.01588793109149877,0.04239999999999999,0.0424,5.745431227104151e-31,5.802529328024191e-15,0.6690290661278929
gemini,optimized,r,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,original,100,100,3391.0,8.48784010541805e-05,2.0186997361000003,2.0366635712299996,1.9645923255,2.036017486,-0.8820227053577854,-3.5080818800001223,-0.3218,-0.3218,3732.5,0.0019626244558025594,37.4335,37.524300000000004,36.705,37.66,-0.24197653254025134,-2.5358470525756727,-0.25349999999999995,-0.2535,6297.0,0.001535687831992728,18.551792897429998,18.424309295260002,18.550601216,18.469340158,0.6919315135617755,0.4399781329751556,0.2594000000000001,0.2594,9.259461933183327e-05,0.0023551493469630715,0.0033076353304458753
gemini,optimized,r,machine_learning_workflows,02_regression_workflow_feature_importance,original,100,100,10000.0,2.562143669163401e-34,2.51472128845,1.4948869074799995,2.515227266,1.493991659,68.22150731717778,68.35617862040554,1.0,1.0,10000.0,2.5488990390031252e-34,45.72979999999998,26.848999999999997,45.955,27.015,70.32217214793843,70.10919859337405,1.0,1.0,7422.0,3.2853250331842643e-09,18.18478498961,17.96060683162,18.250514977,18.071031513999998,1.2481658336584145,0.993210945711397,0.48439999999999994,0.4844,3.7106908312021666e-34,4.212401134716591e-34,1.2543968308521735e-08
